Time,Association Request,Association Response,Reassociation Request,Reassociation Response,Probe Request,Probe Response,Beacon,ATIM,Disassociation,Authentication,Deauthentication,Action,Block Ack Request,Block Ack,PS-Poll,RTS,CTS,ACK,CF-end,CF-end+CF-ack,Data,Data+CF-ack,Data+CF-poll,Data+CF-ack+CF-poll,Null,CF-ack,CF-poll,CF-ack+CF-poll,QoS data,QoS data+CF-ack,QoS data+CF-poll,QoS data+CF-ack+CF-poll,QoS Null,QoS+CF-poll(no data),Qos+CF-ack(no data),Traffic
1500566398000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566417000,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566432000,0,0,0,0,16,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566447000,0,0,0,0,6,32,118,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566462000,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566477000,0,0,0,0,10,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566492000,0,0,0,0,13,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566507000,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566522000,0,0,0,0,1,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566537000,0,0,0,0,9,2,67,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566552000,0,0,0,0,13,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566576000,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566591000,0,0,0,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566606000,0,0,0,0,5,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566621000,0,0,0,0,13,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566636000,0,0,0,0,5,29,59,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566657000,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566690000,0,0,0,0,15,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566714000,0,0,0,0,2,37,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566729000,0,0,0,0,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566744000,0,0,0,0,19,24,73,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566759000,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566774000,0,0,0,0,1,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566791000,0,0,0,0,13,9,80,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566809000,0,0,0,0,29,28,45,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566824000,0,0,0,0,14,10,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566839000,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566858000,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566878000,0,0,0,0,24,11,25,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566897000,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500626388000,0,0,0,0,129,376,632,0,0,0,0,20,2,915,0,1760,2305,3912,0,0,117,0,0,0,267,0,0,0,2,0,0,0,21,0,0,High rate traffic
1500626403000,0,0,0,0,48,230,448,0,0,3,0,17,48,1288,0,1393,2799,3812,1,0,83,0,0,0,177,0,0,0,69,0,0,0,20,0,0,High rate traffic
1500626418000,0,0,0,0,48,139,644,0,0,0,0,20,0,1692,0,649,2664,2490,0,0,60,0,0,0,148,0,0,0,1,0,0,0,22,0,0,High rate traffic
1500626433000,0,0,0,0,48,38,370,0,0,0,0,12,2,556,0,466,1241,1322,0,0,59,0,0,0,63,0,0,0,1,0,0,0,43,0,0,High rate traffic
1500626448000,0,0,0,0,50,46,296,0,0,0,0,15,0,866,0,889,1521,1696,0,0,65,0,0,0,5,0,0,0,2,0,0,0,57,0,0,High rate traffic
1500626463000,0,0,0,0,28,52,222,0,0,0,0,23,1,203,0,128,618,411,1,0,80,0,0,0,10,0,0,0,4,0,0,0,31,0,0,High rate traffic
1500626478000,0,0,0,0,55,87,401,0,0,0,0,29,1,189,0,3568,3484,485,1,0,110,0,0,0,28,0,0,0,8,0,0,0,57,0,0,High rate traffic
1500626493000,0,0,0,0,30,62,375,0,0,0,0,26,0,320,0,4737,4545,905,0,0,63,0,0,0,30,0,0,0,14,0,0,0,75,0,0,High rate traffic
1500626508000,2,0,0,0,30,81,241,0,0,0,0,25,0,210,0,4155,3866,1074,0,0,38,0,0,0,63,0,0,0,5,0,0,0,75,0,0,High rate traffic
1500626523000,1,1,0,0,81,114,265,0,0,1,0,17,2,212,0,5849,5443,901,0,0,86,0,0,0,28,0,0,0,73,0,0,0,39,0,0,High rate traffic
1500626538000,1,1,0,0,50,151,434,0,0,3,0,18,0,402,0,2908,3043,1696,0,0,102,0,0,0,53,0,0,0,228,0,0,0,119,0,0,High rate traffic
1500626553000,0,0,0,0,38,75,298,0,1,0,1,19,7,364,0,522,1052,989,0,0,110,0,0,0,64,0,0,0,77,0,0,0,45,0,0,High rate traffic
1500626568000,21,1,0,0,97,198,544,0,0,1,0,41,0,664,0,330,1088,1066,1,0,65,0,0,0,21,0,0,0,33,0,0,0,104,0,0,High rate traffic
1500626583000,0,0,0,0,71,131,324,0,1,0,1,23,11,183,0,346,443,1384,0,0,85,0,0,0,21,0,0,0,8,0,0,0,81,0,0,High rate traffic
1500626598000,1,1,0,0,57,141,313,0,0,1,1,27,8,180,0,526,858,1257,0,0,67,0,0,0,16,0,0,0,34,0,0,0,91,0,0,High rate traffic
1500626613000,0,0,0,0,31,50,302,0,1,0,1,31,0,127,0,179,343,610,0,0,53,0,0,0,16,0,0,0,3,0,0,0,76,0,0,High rate traffic
1500626628000,0,0,0,0,81,22,196,0,0,0,0,29,0,80,0,76,201,243,0,0,66,0,0,0,8,0,0,0,4,0,0,0,53,0,0,High rate traffic
1500626643000,0,0,0,0,98,141,200,0,0,0,1,22,0,431,0,179,762,878,0,0,51,0,0,0,14,0,0,0,6,0,0,0,50,0,0,High rate traffic
1500626658000,0,0,0,0,43,19,268,0,0,0,0,26,0,274,0,10,576,793,0,0,61,0,0,0,7,0,0,0,2,0,0,0,57,0,0,High rate traffic
1500626673000,0,0,0,0,22,23,269,0,0,0,0,30,0,635,0,70,617,1159,0,0,50,0,0,0,7,0,0,0,1,0,0,0,105,0,0,High rate traffic
1500626688000,0,1,0,0,38,168,263,0,0,2,0,34,1,265,0,44,188,782,0,0,48,0,0,0,110,0,0,0,26,0,0,0,82,0,0,High rate traffic
1500626703000,0,0,0,0,24,70,266,0,0,0,0,28,1,584,0,190,611,1180,0,0,65,0,0,0,182,0,0,0,21,0,0,0,87,0,0,High rate traffic
1500626718000,0,1,0,0,61,155,265,0,1,2,1,67,1,793,0,183,915,1303,0,0,96,0,0,0,63,0,0,0,64,0,0,0,73,0,0,High rate traffic
1500626733000,0,0,0,0,14,70,271,0,0,0,0,24,1,814,0,292,1324,1238,0,0,49,0,0,0,9,0,0,0,4,0,0,0,84,0,0,High rate traffic
1500626748000,0,0,0,0,31,35,245,0,0,0,0,27,0,682,0,301,1461,1809,0,0,31,0,0,0,12,0,0,0,6,0,0,0,76,0,0,High rate traffic
1500626763000,0,0,0,0,26,151,353,0,0,0,0,32,0,1235,1,126,1591,1167,0,0,39,0,0,0,22,0,0,0,34,0,0,0,61,0,0,High rate traffic
1500626778000,0,0,0,0,40,80,270,0,0,0,0,29,11,962,2,371,1634,1681,0,0,64,0,0,0,15,0,0,0,16,0,0,0,60,0,0,High rate traffic
1500626793000,0,0,0,0,22,44,285,0,0,0,0,32,0,557,0,251,1480,1951,0,0,59,0,0,0,16,0,0,0,5,0,0,0,66,0,0,High rate traffic
1500626808000,1,2,0,0,50,166,271,0,0,3,0,33,0,543,0,129,1219,1730,0,0,96,0,0,0,17,0,0,0,22,0,0,0,72,0,0,High rate traffic
1500626823000,0,0,0,0,25,103,278,0,0,0,0,33,0,469,0,73,909,977,0,0,77,0,0,0,17,0,0,0,9,0,0,0,58,0,0,High rate traffic
1501409352000,0,0,0,0,100,127,611,0,0,0,0,26,23,14,0,21,8,134,0,0,42,0,0,0,0,0,0,0,5,0,0,0,10,0,0,Moderate rate traffic
1501409367000,0,0,0,0,140,186,667,0,0,0,0,6,1,6,0,9,7,254,0,0,55,0,0,0,1,0,0,0,5,0,0,0,77,0,0,Moderate rate traffic
1501409382000,0,0,0,0,72,153,739,0,7,0,3,6,4,0,0,8,1,104,0,0,50,0,0,0,0,0,0,0,2,0,0,0,12,0,0,Moderate rate traffic
1501409397000,0,1,0,0,38,127,741,0,0,1,0,8,7,12,0,11,20,244,0,0,531,0,0,0,5,0,0,0,5,0,0,0,4,0,0,Moderate rate traffic
1501409412000,0,0,0,0,47,177,974,0,4,0,0,23,5,0,0,15,0,125,0,0,42,0,0,0,4,0,0,0,0,0,0,0,1,0,0,Moderate rate traffic
1501409427000,1,1,0,2,69,180,836,0,3,8,0,9,5,29,0,550,37,199,0,0,54,0,0,0,10,0,0,0,102,0,0,0,2,0,0,Moderate rate traffic
1501409442000,0,2,7,5,71,195,993,0,2,9,16,12,13,5,0,98,12,1255,0,0,602,0,0,0,55,0,0,0,60,0,0,0,11,0,0,Moderate rate traffic
1501409457000,6,5,4,1,61,186,852,0,9,26,26,11,2,1,0,23,9,1530,0,0,1100,0,0,0,266,0,0,0,6,0,0,0,1,0,0,Moderate rate traffic
1501409472000,0,5,1,2,48,100,840,0,0,6,1,15,0,0,0,2,4,2766,0,0,1202,0,0,0,84,0,0,0,0,0,0,0,1,0,0,Moderate rate traffic
1501409487000,0,0,1,3,79,183,1050,0,0,11,0,14,3,39,0,34,48,941,0,0,622,0,0,0,165,0,0,0,0,0,0,0,1,0,0,Moderate rate traffic
1501409502000,0,1,0,0,66,180,1208,0,0,2,0,4,2,10,0,7,13,300,0,0,408,0,0,0,38,0,0,0,0,0,0,0,2,0,0,Moderate rate traffic
1501409517000,0,3,0,0,90,184,944,0,3,6,27,4,3,107,0,41,91,472,0,0,252,0,0,0,39,0,0,0,0,0,0,0,0,0,0,Moderate rate traffic
1501409532000,2,7,0,3,93,204,1048,0,13,12,8,9,4,88,0,63,73,393,0,0,362,0,0,0,189,0,0,0,1,0,0,0,5,0,0,Moderate rate traffic
1501409547000,0,4,2,2,126,311,808,0,4,21,0,3,3,21,0,447,29,725,0,0,438,0,0,0,95,0,0,0,58,0,0,0,18,0,0,Moderate rate traffic
1501409562000,0,0,1,5,91,203,708,0,0,12,12,1,2,10,0,246,7,328,0,0,757,0,0,0,85,0,0,0,11,0,0,0,10,0,0,Moderate rate traffic
1501409577000,0,0,4,0,146,218,813,0,4,1,1,29,16,21,0,360,34,273,0,0,93,0,0,0,36,0,0,0,25,0,0,0,4,0,0,Moderate rate traffic
1501409592000,0,0,0,0,55,144,720,0,0,0,0,15,9,58,0,706,86,232,0,0,43,0,0,0,93,0,0,0,111,0,0,0,0,0,0,Moderate rate traffic
1501409607000,0,0,0,0,72,125,576,0,0,0,0,6,4,44,0,292,60,144,0,0,11,0,0,0,39,0,0,0,15,0,0,0,3,0,0,Moderate rate traffic
1501409622000,0,0,0,0,88,78,648,0,0,0,0,7,7,81,0,332,86,133,0,0,19,0,0,0,67,0,0,0,19,0,0,0,2,0,0,Moderate rate traffic
1501409637000,0,0,0,0,110,115,609,0,0,0,0,11,6,837,0,570,618,463,0,0,40,0,0,0,106,0,0,0,14,0,0,0,3,0,0,Moderate rate traffic
1501409652000,0,0,0,0,96,160,878,0,0,0,0,14,9,58,0,15,63,302,0,0,175,0,0,0,42,0,0,0,6,0,0,0,14,0,0,Moderate rate traffic
1501409667000,4,2,0,0,326,159,763,0,21,13,20,1,5,1090,0,645,954,740,0,0,405,0,0,0,106,0,0,0,4,0,0,0,2,0,0,Moderate rate traffic
1501409682000,0,0,1,3,41,135,1062,0,3,16,0,7,6,124,0,456,135,350,0,0,124,0,0,0,76,0,0,0,55,0,0,0,3,0,0,Moderate rate traffic
1501409697000,0,0,0,0,79,152,823,0,4,2,0,11,2,93,0,79,94,184,0,0,35,0,0,0,87,0,0,0,3,0,0,0,1,0,0,Moderate rate traffic
1501409712000,0,0,0,0,52,90,699,0,0,0,0,6,4,122,0,406,139,182,0,0,52,0,0,0,42,0,0,0,129,0,0,0,2,0,0,Moderate rate traffic
1501409727000,0,0,0,0,41,100,600,0,4,0,0,10,7,219,0,684,255,179,0,0,79,0,0,0,64,0,0,0,483,0,0,0,2,0,0,Moderate rate traffic
1501409742000,0,0,0,0,69,110,600,0,0,1,0,6,6,218,0,453,201,126,0,0,183,0,0,0,249,0,0,0,8,0,0,0,10,0,0,Moderate rate traffic
1501409757000,0,0,0,0,76,129,616,0,0,0,0,8,5,33,0,432,23,132,0,0,64,0,0,0,126,0,0,0,38,0,0,0,2,0,0,Moderate rate traffic
1501409772000,0,0,0,0,58,125,579,0,0,0,0,9,12,1091,0,536,574,287,0,0,166,0,0,0,959,0,0,0,29,0,0,0,3,0,0,Moderate rate traffic
1501409787000,14,0,0,0,138,143,633,0,0,2,0,25,26,277,0,156,175,251,0,0,40,0,0,0,246,0,0,0,9,0,0,0,2,0,0,Moderate rate traffic
1498296608000,0,0,0,0,0,0,139,0,0,0,0,0,1,2,0,133,1,2,0,0,0,0,0,0,0,0,0,0,45,0,0,0,2,0,0,Low rate traffic
1498296623000,0,0,0,0,13,8,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296638000,0,0,0,0,0,0,145,0,0,0,0,0,1,2,0,133,1,5,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,0,0,Low rate traffic
1498296653000,0,0,0,0,9,1,147,0,0,0,0,0,1,4,0,133,1,11,0,0,1,0,0,0,0,0,0,0,53,0,0,0,4,0,0,Low rate traffic
1498296668000,0,0,0,0,0,0,146,0,0,0,0,0,1,2,0,258,1,8,0,0,0,0,0,0,0,0,0,0,71,0,0,0,2,0,0,Low rate traffic
1498296683000,0,0,0,0,13,7,137,0,0,0,0,16,1,7,0,349,5,53,0,0,7,0,0,0,4,0,0,0,121,0,0,0,2,0,0,Low rate traffic
1498296698000,0,0,0,0,0,0,143,0,0,0,0,0,1,18,0,62,15,15,0,0,0,0,0,0,2,0,0,0,44,0,0,0,2,0,0,Low rate traffic
1498296713000,0,0,0,0,0,0,145,0,1,0,0,0,2,3,0,175,1,41,0,0,1,0,0,0,30,0,0,0,32,0,0,0,4,0,0,Low rate traffic
1498296728000,0,0,0,0,9,2,146,0,0,0,0,0,1,2,0,132,1,4,0,0,0,0,0,0,0,0,0,0,50,0,0,0,2,0,0,Low rate traffic
1498296743000,0,0,0,0,13,8,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296758000,0,0,0,0,0,0,146,0,0,0,0,0,1,2,0,188,2,4,0,0,0,0,0,0,0,0,0,0,57,0,0,0,2,0,0,Low rate traffic
1498296773000,0,0,0,0,0,0,147,0,0,0,0,0,1,3,0,132,1,7,0,0,1,0,0,0,0,0,0,0,52,0,0,0,3,0,0,Low rate traffic
1498296788000,0,0,0,0,9,1,145,0,0,0,0,0,1,3,0,133,1,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,3,0,0,Low rate traffic
1498296803000,0,0,0,0,15,9,139,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296818000,0,0,0,0,0,0,147,0,0,0,0,0,1,3,0,205,2,2,0,0,0,0,0,0,0,0,0,0,61,0,0,0,2,0,0,Low rate traffic
1498296833000,0,0,0,0,0,0,145,0,0,0,0,0,1,2,0,133,1,5,0,0,0,0,0,0,0,0,0,0,45,0,0,0,2,0,0,Low rate traffic
1498296848000,0,0,0,0,8,1,146,0,0,0,0,0,1,2,0,132,1,8,0,0,5,0,0,0,0,0,0,0,46,0,0,0,2,0,0,Low rate traffic
1498296863000,0,0,0,0,13,8,137,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296878000,0,0,0,0,4,2,147,0,0,0,0,0,1,2,0,134,2,5,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,Low rate traffic
1498296893000,0,0,0,0,0,0,146,0,0,0,0,0,1,2,0,133,1,6,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,Low rate traffic
1498296908000,0,0,0,0,7,1,147,0,0,0,0,0,1,2,0,133,1,8,0,0,1,0,0,0,0,0,0,0,51,0,0,0,2,0,0,Low rate traffic
1498296923000,0,0,0,0,0,0,146,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,Low rate traffic
1498296938000,0,0,0,0,15,11,140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296953000,0,0,0,0,2,1,146,0,0,0,0,0,1,2,0,156,2,10,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2,0,0,Low rate traffic
1498296968000,0,0,0,0,11,2,147,0,0,0,0,0,1,2,0,133,1,9,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,Low rate traffic
1498296983000,0,0,0,0,0,8,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296998000,0,0,0,0,13,8,138,0,0,0,0,0,1,2,0,133,1,2,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,Low rate traffic
1498297013000,0,0,0,0,2,1,146,0,0,0,0,0,1,2,0,134,2,5,0,0,0,0,0,0,0,0,0,0,54,0,0,0,2,0,0,Low rate traffic
1498297028000,0,0,0,0,0,0,147,0,0,0,0,0,1,4,0,133,1,4,0,0,1,0,0,0,0,0,0,0,49,0,0,0,4,0,0,Low rate traffic
1498297043000,0,0,0,0,9,9,146,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
